"t"	"glc"	"gln"	"cys2o"	"xct"	"ros[t]"	"ca[t]"	"gsh[t]"	"gssg[t]"	"nadph[t]"	"cys2[t]"	"cys[t]"	"pptaseRed[t]"	"rtkPhos[t]"	"glu[t]"	"ros'[t]"	"ca'[t]"	"gsh'[t]"	"gssg'[t]"	"nadph'[t]"	"cys2'[t]"	"cys'[t]"	"pptaseRed'[t]"	"rtkPhos'[t]"	"glu'[t]"
20	0	2000	200	3	0.12437707785170113	0.16056541190481602	323.8916977824986	1353.790896905027	0.035424987310988	157.6922286811685	851.367772837719	0.09652226920621886	0.00921495865733209	1917.6290588992285	0.21008235182613322	0.06381179948638852	-207.68542854809232	103.73301165900713	-0.0014278658415028324	4.999259413017408	-1.865999094224294	-0.007410806556550034	0.0001840174067166986	-0.24009175767844787
21	0	2000	200	3	0.616411110771982	0.388193503718234	121.68953740444178	1454.7174896521058	0.03397825270513624	163.4829913716579	848.4470647767738	0.06767869256205523	0.0102588021738023	1917.5311313069271	0.27551297887223763	0.3282176043964218	-64.23466635889774	31.87024369996703	-0.0009302790456098102	5.931831191813319	-2.5883611473119577	-0.023862497112646614	0.0020310963388831993	0.05526803766074796
22	0	2000	200	3	0.7700233011450647	0.6609179900306614	98.22587443286181	1466.177607915714	0.03330653966510291	168.5392356039701	847.8588345581624	0.05634795651700203	0.01230279958858671	1917.6372037441818	0.08815293056934734	0.2091052891099704	-7.925331942354846	3.696962364422268	-0.0005066964385481743	4.183586147214002	1.1555918218739636	-0.00511638659011914	0.0018373436448755073	0.09507654893894878
23	0	2000	200	3	0.832788808313563	0.8183780755366149	93.27677758808477	1468.4358034366721	0.03289555690401157	172.00780432958132	850.068871575173	0.05295873044438108	0.013852009043633122	1917.6378492458196	0.04422794960399569	0.11441069623633851	-3.1299004364122482	1.4110529313418971	-0.0003313450985880053	2.838630644138553	2.9706792324239637	-0.002248567357021344	0.001278951184917648	-0.1169266080223584
24	0	2000	200	3	0.8660632302584688	0.9039383742566067	91.01794785701156	1469.487496884453	0.03262125905257632	174.36122636939845	853.3598267916942	0.051308756862025635	0.014909130990491164	1917.383247031546	0.024559312817484302	0.062124795962956315	-1.6021361813616024	0.8016091390443465	-0.0002255217941351945	1.9280097452173366	3.454126250303874	-0.0011885678117106537	0.00085939709772461	-0.3925816915435278
25	0	2000	200	3	0.8849491378420441	0.9506817380587532	89.81125803008655	1470.1677409004953	0.03243174642227676	175.96242994389064	856.7560539907416	0.05040679092911356	0.015613695827680314	1916.863829911194	0.014248811915722874	0.03426732516340539	-0.8921580148779178	0.5962152022750873	-0.0001584140990899587	1.3146770406849708	3.2650854872050297	-0.000671604389918068	0.0005682671894396261	-0.6367110170101128
26	0	2000	200	3	0.8960560969110147	0.9767222969077151	89.12307777739412	1470.7265708467885	0.03229669901920209	177.05689697524824	859.795966270033	0.0498871087481165	0.016077164263509074	1916.132670925457	0.008500547128092797	0.01933384069627201	-0.5218368185266047	0.5352179343505871	-0.0001147030896604391	0.901341724577	2.7882502318510394	-0.0003949698653946254	0.0003718515075901651	-0.81328135095325
27	0	2000	200	3	0.9027468214945326	0.9915749177517873	88.71344556543589	1471.2547142758992	0.03219752858713575	177.80972339018976	862.3073968399227	0.04957722990085756	0.01637937658911895	1915.2616835802028	0.005174547221454456	0.011171727501993274	-0.316748535314667	0.5254734464346459	-0.00008553914611423659	0.622539659940416	2.232589744501334	-0.00023909681181764151	0.00024162007763695061	-0.9170481905690999
28	0	2000	200	3	0.9068508919475498	1.0002476187427751	88.46093248996155	1471.781818071704	0.032122567530463955	178.33201735920508	864.2705519083613	0.0493875100918404	0.016575317102728228	1914.319903426583	0.0032009810447050048	0.006603093425216751	-0.19878495465775725	0.5293190853788673	-0.00006559950156559116	0.43432047134857565	1.7032596091254075	-0.0001482670574098902	0.00015633057669312838	-0.9569859546212098
29	0	2000	200	3	0.909406588640467	1.0054228601665967	88.2999865266022	1472.3128116430262	0.032064359824059044	178.69859701042665	865.7383535267679	0.04926862000565503	0.016701965455716172	1913.3642987278956	0.0020085457110228804	0.00398375354300624	-0.12904117012807595	0.5318458175576342	-0.000051607474349579665	0.3071045997407884	1.2462184379430896	-0.00009406195253911375	0.00010097609029622649	-0.9471717795603758
30	0	2000	200	3	0.9110206701926985	1.0085722057256963	88.19377469636034	1472.8433885127658	0.032018059984117574	178.95984096541528	866.7917844583374	0.049192376259992274	0.01678378399536913	1912.4372911758085	0.001278519132387321	0.002448477477211372	-0.08681892243335017	0.5281447818856819	-0.00004151832343609386	0.22094929191768548	0.8750353737693243	-0.00006110204292077763	0.00006527987345423339	-0.9020965843578764
31	0	2000	200	3	0.9120551163111617	1.0105236216822626	88.12105347025201	1473.366827592884	0.031980462127339154	179.14965446730378	867.5161193512416	0.049142259636365565	0.016836757575296346	1911.567585545138	0.0008259970007320162	0.001531504737126986	-0.06064567382351773	0.5176765236260993	-0.0000340329125971686	0.1624210575845151	0.5867034160771895	-0.00004073134089419573	0.00004236118186297379	-0.8344892473451883
32	0	2000	200	3	0.9127291588699877	1.0117541480499193	88.0693468933517	1473.8768761516637	0.03194939974167023	179.29084253391406	867.9893513047507	0.04910841345259894	0.01687123470127213	1910.7723914483438	0.0005435669876944138	0.0009749966711295032	-0.0439728068783207	0.5016270341336079	-0.00002833553886792359	0.12247072453764536	0.37077739981965613	-0.00002792910853677076	0.000027680606571362697	-0.7545575977207486
33	0	2000	200	3	0.9131768473660462	1.0125443093461224	88.03122529558856	1474.3687815199987	0.03192337363320048	179.3987381931943	868.277525030195	0.04908488047358714	0.016893867068210926	1910.06000454127	0.00036517953916403615	0.0006325259419900641	-0.03299801652478425	0.4816750192568031	-0.00002389121589840869	0.09501142269844491	0.21440938015116556	-0.000019728043567775826	0.000018278585997330044	-0.6699498166870302
34	0	2000	200	3	0.9134808010608286	1.0130618037655312	88.00220543123132	1474.8394668635385	0.03190131688806835	179.48365202904935	868.4338019629866	0.0490680236542347	0.016908906616691366	1909.4322360204933	0.00025106342308863573	0.00041896016234639	-0.025488386938292546	0.4594361966535531	-0.00002035097822802757	0.07595463246424396	0.10498014101988215	-0.000014350383718415086	0.00001224253081113208	-0.5860502311077013
35	0	2000	200	3	0.913692213753406	1.0134082217410467	87.97953781654658	1475.2873421141564	0.031882448026845644	179.55252526445287	868.4993755758587	0.049055600198993646	0.016919060869224702	1908.8864737670285	0.0001769575072799418	0.0002839794599028346	-0.020127258167595457	0.43624982152603864	-0.000017484008657824983	0.06256034927860492	0.031292679876000096	-0.000010724270395928283	8.346762482192894e-6	-0.5063942513747212
36	0	2000	200	3	0.9138429795598457	1.0136457114435795	87.96149949943785	1475.7119887866509	0.03186617769847251	179.61004159558263	868.5051857728807	0.04904621157831224	0.016926049483349314	1908.4173177558494	0.000127837298907791	0.00019724925978980624	-0.01613115423097348	0.4131199572856575	-0.000015132156684518762	0.05299328322198967	-0.015936814335073643	-8.19746003340135e-6	5.808746289008039e-6	-0.4330920619579707
37	0	2000	200	3	0.9139530926009933	1.0138126105146623	87.94697756648411	1476.1138380647599	0.03185204945024392	179.6593727582586	868.473810229092	0.04903897267121877	0.016930963334966877	1908.0178088631667	0.00009446853929326028	0.00014046751694374846	-0.013036015385230328	0.390747771580339	-0.000013184429028611871	0.04602572698908397	-0.044160934553395696	-6.3744631828281765e-6	4.132910028821474e-6	-0.3672065439288301
38	0	2000	200	3	0.914035225127126	1.0139328183874965	87.93522212958095	1476.4938867844812	0.0318397013443263	179.7026817821776	868.4212666557864	0.04903331034653964	0.016934496494850054	1907.6803176467342	0.00007113125634860399	0.00010240178962134618	-0.010561862371730936	0.3695747382248131	-0.000011560412900301733	0.0408371464934292	-0.05910394641513649	-5.01262419545019e-6	3.0059471226607877e-6	-0.30906564939942577
39	0	2000	200	3	0.9140974997003396	1.0140213194226801	87.92570459136536	1476.8534707539218	0.031828841076359346	179.74145395858116	868.3585734603425	0.04902884429996595	0.01693709128951374	1907.3971463653372	0.00005424759089734636	0.00007617754969720651	-0.008538453256759625	0.3498454405118572	-0.000010198751263006169	0.03687814242844874	-0.06507430980141739	-3.9631137129645876e-6	2.2306441157885016e-6	-0.2585094752773311
40	0	2000	200	3	0.914145233640917	1.0140876670857972	87.91803163500283	1477.1940938970874	0.03181922931607026	179.77672215269138	868.293037476959	0.04902531228766734	0.016939032561120466	1907.1609223980367	0.00004173195615367638	0.0000575402749452405	-0.006858426460218484	0.331660039326722	-9.055649314666544e-6	0.03377856011528179	-0.06524034144379263	-3.1322844245777174e-6	1.6825330119279267e-6	-0.21507397684785234
41	0	2000	200	3	0.9141819863582112	1.0141380652655487	87.91189626209604	1477.5173055771286	0.03181066864196269	179.8092154911582	868.2292788091265	0.04902252611455928	0.016940506409620644	1906.9648334996007	0.000032159291032951734	0.0000439144617257528	-0.005453113354937331	0.3150169660694483	-8.092595135939014e-6	0.03129330795423531	-0.06183827074070942	-2.462927420378535e-6	1.2850102255608596e-6	-0.17812822165930406
42	0	2000	200	3	0.9142102355084046	1.0141766053159096	87.90705047491869	1477.824620180416	0.0318029943268725	179.83945587016933	868.1700138699633	0.04902034582424185	0.016941635910478096	1906.8027410663747	0.000024633654738959565	0.000033629281018784156	-0.004272885934664303	0.29985077865257925	-7.2789542753180206e-6	0.02925082518798514	-0.05646058188515086	-1.915711987518414e-6	9.878745818835482e-7	-0.14696143101051448
43	0	2000	200	3	0.9142317508943876	1.0142060804593303	87.90328775953284	1478.1174656936137	0.03179606914705831	179.86782499941367	868.1166505429885	0.04901866288597181	0.016942504801997372	1906.6692226171429	0.000018614014475825752	0.000025650631937982384	-0.0032817580092096284	0.286059272112875	-6.590549057525986e-6	0.027534866513093254	-0.05017971741467574	-1.4646042164055693e-6	7.59691766932169e-7	-0.12086127214606582
