"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"tkPhosmax"	"tkPhosmd"	"tkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"	"foldRos"	"foldkCaInRos"
239	3	1	0.0003304752758653012	0.0003304752758653012	0.0003304752758653012	0.10018176140172591	0.10018176140172591	0.10018176140172591	0.4001523489313952	0.4001523489313952	0.4001523489313952	2927.300749988805	2927.300749988805	2927.300749988805	68.06817468491761	68.06817468491761	68.06817468491761	867.9074943067577	867.9074943067577	867.9074943067577	14.289767838462755	14.289767838462755	14.289767838462755	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999887107074656	0.09999887107074656	0.09999887107074656	0.00909100239180494	0.00909100239180494	0.00909100239180494	100	2000	200	0.7	0.00005	1.7	0.35000000000000003	0.55
240	3	1	0.0003832661716399411	0.0003832661716399411	0.0003832661716399411	0.10021079639440197	0.10021079639440197	0.10021079639440197	0.396256626534403	0.396256626534403	0.396256626534403	2906.3362573554477	2906.3362573554477	2906.3362573554477	78.55042100159622	78.55042100159622	78.55042100159622	867.9074943067577	867.9074943067577	867.9074943067577	14.430254999782905	14.430254999782905	14.430254999782905	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999868129120813	0.09999868129120813	0.09999868129120813	0.009091018076413314	0.009091018076413314	0.009091018076413314	100	2000	200	0.7	0.00005	1.7	0.4	0.55
241	3	1	0.0004377196941720846	0.0004377196941720846	0.0004377196941720846	0.10024074583179465	0.10024074583179465	0.10024074583179465	0.3923614911634898	0.3923614911634898	0.3923614911634898	2884.9587086738807	2884.9587086738807	2884.9587086738807	89.2391953423797	89.2391953423797	89.2391953423797	867.9074943067577	867.9074943067577	867.9074943067577	14.573510130387787	14.573510130387787	14.573510130387787	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999848277532826	0.09999848277532826	0.09999848277532826	0.00909103448310736	0.00909103448310736	0.00909103448310736	100	2000	200	0.7	0.00005	1.7	0.45	0.55
242	3	1	0.0004939439438807499	0.0004939439438807499	0.0004939439438807499	0.10027166916913441	0.10027166916913441	0.10027166916913441	0.3884669062739931	0.3884669062739931	0.3884669062739931	2863.155569150645	2863.155569150645	2863.155569150645	100.1407651039975	100.1407651039975	100.1407651039975	867.9074943067577	867.9074943067577	867.9074943067577	14.7196172283775	14.7196172283775	14.7196172283775	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999827485649765	0.09999827485649765	0.09999827485649765	0.0090910516669883	0.0090910516669883	0.0090910516669883	100	2000	200	0.7	0.00005	1.7	0.5	0.55
243	3	1	0.0005520563587415637	0.0005520563587415637	0.0005520563587415637	0.10030363099730787	0.10030363099730787	0.10030363099730787	0.384572827711998	0.384572827711998	0.384572827711998	2840.9137477392082	2840.9137477392082	2840.9137477392082	111.26167580971605	111.26167580971605	111.26167580971605	867.9074943067577	867.9074943067577	867.9074943067577	14.868664019412678	14.868664019412678	14.868664019412678	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999980568025635	0.0999980568025635	0.0999980568025635	0.009091069688575582	0.009091069688575582	0.009091069688575582	100	2000	200	0.7	0.00005	1.7	0.55	0.55
244	3	1	0.0006121847322503955	0.0006121847322503955	0.0006121847322503955	0.10033670160273772	0.10033670160273772	0.10033670160273772	0.38067920268218236	0.38067920268218236	0.38067920268218236	2818.2195601081753	2818.2195601081753	2818.2195601081753	122.60876962523243	122.60876962523243	122.60876962523243	867.9074943067577	867.9074943067577	867.9074943067577	15.020742204871732	15.020742204871732	15.020742204871732	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999782780787174	0.09999782780787174	0.09999782780787174	0.00909108861446478	0.00909108861446478	0.00909108861446478	100	2000	200	0.7	0.00005	1.7	0.6000000000000001	0.55
245	3	1	0.0006744683671764544	0.0006744683671764544	0.0006744683671764544	0.10037095760194704	0.10037095760194704	0.10037095760194704	0.37678596856767477	0.37678596856767477	0.37678596856767477	2795.058687887641	2795.058687887641	2795.058687887641	134.18920573549963	134.18920573549963	134.18920573549963	867.9074943067577	867.9074943067577	867.9074943067577	15.17594773494902	15.17594773494902	15.17594773494902	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999975869841479	0.0999975869841479	0.0999975869841479	0.009091108518081523	0.009091108518081523	0.009091108518081523	100	2000	200	0.7	0.00005	1.7	0.65	0.55
246	3	1	0.0007390593867985502	0.0007390593867985502	0.0007390593867985502	0.1004064826627392	0.1004064826627392	0.1004064826627392	0.3728930515777768	0.3728930515777768	0.3728930515777768	2771.416133668043	2771.416133668043	2771.416133668043	146.01048284529844	146.01048284529844	146.01048284529844	867.9074943067577	867.9074943067577	867.9074943067577	15.33438111021631	15.33438111021631	15.33438111021631	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999733335001666	0.09999733335001666	0.09999733335001666	0.009091129480547981	0.009091129480547981	0.009091129480547981	100	2000	200	0.7	0.00005	1.7	0.7000000000000001	0.55
247	3	1	0.0008061242294032118	0.0008061242294032118	0.0008061242294032118	0.10044336832617176	0.10044336832617176	0.10044336832617176	0.3690003651948403	0.3690003651948403	0.3690003651948403	2747.2761711311427	2747.2761711311427	2747.2761711311427	158.08046411374877	158.08046411374877	158.08046411374877	867.9074943067577	867.9074943067577	867.9074943067577	15.49614771580484	15.49614771580484	15.49614771580484	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999706581892012	0.09999706581892012	0.09999706581892012	0.009091151591681772	0.009091151591681772	0.009091151591681772	100	2000	200	0.7	0.00005	1.7	0.75	0.55
248	3	1	0.0008758453568035886	0.0008758453568035886	0.0008758453568035886	0.10048171494624197	0.10048171494624197	0.10048171494624197	0.3651078083860429	0.3651078083860429	0.3651078083860429	2722.6222895775254	2722.6222895775254	2722.6222895775254	170.40740489055747	170.40740489055747	170.40740489055747	867.9074943067577	867.9074943067577	867.9074943067577	15.661358193137355	15.661358193137355	15.661358193137355	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999678318514534	0.09999678318514534	0.09999678318514534	0.009091174951151176	0.009091174951151176	0.009091174951151176	100	2000	200	0.7	0.00005	1.7	0.8	0.55
