"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"tkPhosmax"	"tkPhosmd"	"tkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"	"foldkNadphOxCys2"	"foldkCys2Red"
212	3	3	0.445300817075111	0.29322244675426934	0.0011163562539008077	0.545300817075111	0.3932224467542693	0.10111635625390081	0.4394605373690962	0.21884694144301287	0.21606044440162817	2704.728622904113	330.7249690041851	269.73585656777595	1396.8506213954322	1366.3560651772275	179.35423822726366	867.9074943067577	867.9074943067577	867.9074943067577	52.930411969495026	52.25646864006231	26.02319744329009	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999587274608777	0.09185600011294094	0.08583044603818817	0.010435097000399048	0.009817781955811839	0.009091250199072285	100	2000	200	0.7	0.00005	1.7	0.05	0.5
213	3	3	0.4551843075992718	0.2830404302428708	0.0011231663858040086	0.5551843075992717	0.38304043024287077	0.10112316638580401	0.42941009104062455	0.2147039505915535	0.21161458422998408	2696.607585045672	333.46960560220026	264.47094204205683	1399.4830786582918	1364.98374687822	183.41475715648417	867.9074943067577	867.9074943067577	867.9074943067577	54.04243934369596	53.26482489484408	26.632276630426063	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999958350647203	0.09217631158826897	0.08531613185688029	0.010491403506612363	0.009787004291460564	0.009091253313469655	100	2000	200	0.7	0.00005	1.7	0.1	0.5
214	3	3	0.4643017639273458	0.2736466070745737	0.001130357453278208	0.5643017639273458	0.37364660707457376	0.10113035745327821	0.4193623117502826	0.2105430432066347	0.2071925685447231	2688.112369699349	335.9203029392646	259.5325434613471	1401.9522779486465	1363.7583982096878	187.66236482964553	867.9074943067577	867.9074943067577	867.9074943067577	55.19584226797123	54.317483771080845	27.270376979656294	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999579515374349	0.09246743921554976	0.08482489094917257	0.010545754284452737	0.009759197728133008	0.00909125661214848	100	2000	200	0.7	0.00005	1.7	0.15000000000000002	0.5
215	3	3	0.47287361945664985	0.2648231681525822	0.001137962097372669	0.5728736194566498	0.3648231681525822	0.10113796209737268	0.4093173823829462	0.20636898787748276	0.20278969143431175	2679.2166510011502	338.16902320744003	254.8322631819808	1404.3024180883297	1362.6340380756	192.11022417874494	867.9074943067577	867.9074943067577	867.9074943067577	56.39422917212136	55.416118720705185	27.9396107390108	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999575281168266	0.09273763348473922	0.08434813298683064	0.01059904386385243	0.009733531580212439	0.009091260111761243	100	2000	200	0.7	0.00005	1.7	0.2	0.5
216	3	3	0.4810422917522632	0.2564305693290934	0.001146016773171299	0.5810422917522632	0.3564305693290934	0.10114601677317131	0.399275502730267	0.20218490368656777	0.19840289979771422	2669.8915878002203	340.2765030642268	250.3133059213315	1406.5618967186545	1361.5802981472068	196.77275577920997	867.9074943067577	867.9074943067577	867.9074943067577	57.64113500432874	56.56291901109984	28.642298999786437	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999570781229765	0.09299216009848996	0.08388022702497648	0.010651870278647217	0.00970947690623941	0.009091263831007404	100	2000	200	0.7	0.00005	1.7	0.25	0.5
217	3	3	0.48890667553456013	0.24837306217738098	0.001154562320362995	0.5889066755345601	0.34837306217738095	0.101154562320363	0.38923689146174184	0.19799297773781374	0.19403007624093502	2660.105517513913	342.2862194948818	245.93656305785166	1408.7502681503943	1360.5754399318791	201.6657909223635	867.9074943067577	867.9074943067577	867.9074943067577	58.9401836769347	57.76047445295942	29.380998007519068	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999956599006934	0.09323461873778681	0.08341718047817906	0.010704669043544791	0.00968667305819159	0.009091267790954871	100	2000	200	0.7	0.00005	1.7	0.30000000000000004	0.5
218	3	3	0.4965392988515491	0.24058156399058475	0.0011636446388694876	0.5965392988515491	0.34058156399058476	0.1011636446388695	0.3792017883730387	0.19379482504435822	0.18966967969197515	2649.8236043778757	344.2313697742128	241.67369123502993	1410.881704061805	1359.6028647922137	206.8067474903823	867.9074943067577	867.9074943067577	867.9074943067577	60.295184507417154	59.01173227857193	30.158529530034954	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999560878867994	0.09346759690696725	0.08295598278864517	0.01075777986526923	0.00966486155950011	0.009091272015423528	100	2000	200	0.7	0.00005	1.7	0.35000000000000003	0.5
219	3	3	0.5039957355434813	0.2330042741768261	0.0011733154927113798	0.6039957355434813	0.3330042741768261	0.10117331549271139	0.3691704569570733	0.18959168762202594	0.1853205469047992	2639.0074339989856	346.13873533889904	237.50331717051733	1412.9668910940613	1358.6491820098706	212.21483267982728	867.9074943067577	867.9074943067577	867.9074943067577	61.71020172072562	60.31998805395806	30.978016027485477	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999555414920877	0.09369302722434035	0.08249424539383578	0.010811483414368658	0.009643849994238238	0.009091276531445099	100	2000	200	0.7	0.00005	1.7	0.4	0.5
220	3	3	0.5113201649206967	0.22560114644549847	0.0011836334713057008	0.6113201649206966	0.3256011464454985	0.1011836334713057	0.359143187351777	0.1853845530846654	0.18098177457703907	2627.614544441127	348.0310011059924	233.40879925920203	1415.014150049719	1357.703049126324	217.91127745875676	867.9074943067577	867.9074943067577	867.9074943067577	63.18961320396537	61.68889555359792	31.842921528924183	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999549560966492	0.09391239733341698	0.08202998878840422	0.01086602327312247	0.009623490802462819	0.009091281369817598	100	2000	200	0.7	0.00005	1.7	0.45	0.5
221	3	3	0.5185488528900393	0.2183404429105712	0.0011946651452091617	0.6185488528900392	0.3183404429105712	0.10119466514520917	0.34912029972866243	0.1811742295674291	0.17665264528151028	2615.5978819949155	349.92824871660724	229.37683014300006	1417.0301346078202	1356.7544253210165	223.91960868186226	867.9074943067577	867.9074943067577	867.9074943067577	64.7381663278571	63.12248910783451	32.75709931899859	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999543274373325	0.09412688034754323	0.08156150873334152	0.01092161994525825	0.009603668108199442	0.009091286565777642	100	2000	200	0.7	0.00005	1.7	0.5	0.5
222	3	3	0.5257124388177358	0.21119648623736823	0.0012064864635719765	0.6257124388177357	0.31119648623736823	0.10120648646357198	0.339102148198534	0.17696139544482284	0.17233257877769978	2602.9051671932457	351.84898384303165	225.3965234405279	1419.020287959056	1355.7940577578042	230.26596608269722	867.9074943067577	867.9074943067577	867.9074943067577	66.36103523549326	64.62521559430282	33.72484778773747	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999953650614749	0.09433741961514189	0.08108728778584691	0.010978480359971588	0.009584289161919009	0.009091292159820678	100	2000	200	0.7	0.00005	1.7	0.55	0.5
223	3	3	0.5328375009668767	0.20414813747145893	0.0012191844541161068	0.6328375009668766	0.3041481374714589	0.10121918445411611	0.3290891253254493	0.1727466337875999	0.16802109880103824	2589.478153391548	353.8108925189312	221.45879389101324	1420.9891527338134	1354.8131034198545	236.97947298354615	867.9074943067577	867.9074943067577	867.9074943067577	68.06388253675487	66.20197500665431	34.75097611074408	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999952919971413	0.09454478583236857	0.08060593407802437	0.011036804710151329	0.00956527857451869	0.009091298198708265	100	2000	200	0.7	0.00005	1.7	0.6000000000000001	0.5
224	3	3	0.5399476682790937	0.1971777323301177	0.0012328593045174863	0.6399476682790937	0.2971777323301177	0.10123285930451749	0.31908166735780885	0.16853045724134436	0.16371780970071467	2575.2517561459804	355.83143979176884	217.55592298307965	1422.9405881877803	1353.8028297834358	244.0926716063299	867.9074943067577	867.9074943067577	867.9074943067577	69.85292775047694	67.8581694946283	35.84088182561165	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999521289410525	0.09474961668160635	0.08011613711403495	0.011096791673777341	0.009546574313866645	0.009091304736713603	100	2000	200	0.7	0.00005	1.7	0.65	0.5
225	3	3	0.547064437635752	0.1902703174569564	0.0012476269283874242	0.6470644376357519	0.2902703174569564	0.10124762692838742	0.30908026030683644	0.16431332674983537	0.15942237957209926	2560.1530264429307	357.9283816104722	213.68124605183917	1424.8779266534004	1352.7543588740841	251.64203645785466	867.9074943067577	867.9074943067577	867.9074943067577	71.73502467586937	69.59976137481382	37.00064287876945	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999512698608848	0.09495244501828713	0.07961663450316968	0.011158642650931406	0.009528124855269052	0.009091311837173243	100	2000	200	0.7	0.00005	1.7	0.7000000000000001	0.5
226	3	3	0.5542077952144941	0.18341308876012122	0.0012636221521054925	0.6542077952144941	0.2834130887601212	0.10126362215210549	0.29908544702835194	0.1600956662921666	0.15513452780483045	2544.0999342221107	360.12023839472323	209.82892133032203	1426.804089014159	1351.6584304819585	259.66858256826475	867.9074943067577	867.9074943067577	867.9074943067577	73.7177499703858	71.43334106008788	38.237127369845766	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999950333735884	0.09515371931223135	0.07910618585299745	0.01122256541930485	0.009509887111369929	0.009091319574435592	100	2000	200	0.7	0.00005	1.7	0.75	0.5
227	3	3	0.5613967054017198	0.17659496922622112	0.0012810027041853412	0.6613967054017198	0.2765949692262211	0.10128100270418534	0.28909783549429935	0.1558778750849189	0.150854015713602	2526.9999201367154	362.4267672007032	205.99375571559068	1428.7216718215248	1350.5051660789686	268.21858961096245	867.9074943067577	867.9074943067577	867.9074943067577	75.80950549040766	73.36620624485788	39.558125064951795	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999493099402232	0.09535381870130089	0.07858355138371531	0.011288777480463879	0.009491824903235828	0.00909132803632874	100	2000	200	0.7	0.00005	1.7	0.8	0.5
228	3	3	0.5686495095839755	0.16980628487382812	0.001299954252005975	0.6686495095839755	0.26980628487382813	0.10129995425200598	0.2791181084765826	0.15166033828657147	0.1465806393716451	2508.748162483459	364.8694645056039	202.17107063827277	1430.6330143601838	1349.2838174265182	277.34446843759065	867.9074943067577	867.9074943067577	867.9074943067577	78.01963739218478	75.40645406501083	40.9725058503319	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999481858356532	0.09555306420006696	0.07804747362629798	0.011357509293728568	0.009473907816684357	0.00909133732731492	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.5
229	3	3	0.575984264080179	0.16303851072342962	0.0013206968196339153	0.675984264080179	0.2630385107234296	0.10132069681963392	0.26914703490769426	0.14744343701126908	0.1423142240509449	2489.22549184949	367.472131397938	198.35659680888708	1432.5402512748765	1347.9824839803512	287.10580375457516	867.9074943067577	867.9074943067577	867.9074943067577	80.35857560096379	77.5630883564949	42.49041174246063	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999469462788296	0.09575172709678219	0.07749666106017111	0.011429007551640218	0.009456110339312162	0.00909134757256289	100	2000	200	0.7	0.00005	1.7	0.9	0.5
230	3	3	0.5834190382503975	0.15628406705510428	0.0013434930472735918	0.6834190382503975	0.25628406705510426	0.10134349304727358	0.2591854832300755	0.14322755835185727	0.13805461985647344	2468.29586705329	370.2615366958018	194.54639006909744	1434.4453546447714	1346.5877813314191	297.57061615267514	867.9074943067577	867.9074943067577	867.9074943067577	82.83799806467763	79.84614458340418	44.1234909840171	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999455729783907	0.0959500352437904	0.07692977285478365	0.011503538628480048	0.009438411206744823	0.009091358923262342	100	2000	200	0.7	0.00005	1.7	0.9500000000000001	0.5
231	3	3	0.5909721885950276	0.14953615162574316	0.0013686589364543924	0.6909721885950276	0.24953615162574316	0.10136865893645439	0.24923443709740276	0.1390131060995694	0.13380169826294475	2445.8033006854475	373.2682214258017	190.73676284656042	1436.35016825604	1345.0844389664192	308.8168993365963	867.9074943067577	867.9074943067577	867.9074943067577	85.47102526319358	82.26683550469762	45.88518531257785	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999440436460731	0.09614817772900568	0.07634540407356102	0.011581392324576547	0.009420792908503634	0.009091371563640815	100	2000	200	0.7	0.00005	1.7	1.	0.5
232	3	3	0.43427316532977056	0.3045683868580913	0.0011098977465176408	0.5342731653297705	0.4045683868580912	0.10110989774651764	0.4495134830253254	0.2229639543800015	0.22053815070639562	2712.4995611229174	327.53102768330353	275.47942163151384	1393.9788388635632	1367.9530358376683	175.46876911786146	867.9074943067577	867.9074943067577	867.9074943067577	47.14157905378147	46.62868800838251	23.1283755849312	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999590837783129	0.09149221480752485	0.08638243996256444	0.01037533393415239	0.009852972485588697	0.009091247254080056	100	2000	200	0.7	0.00005	1.7	0.	0.55
233	3	3	0.4443531889113652	0.29419822792215417	0.0011157550033090936	0.5443531889113652	0.39419822792215414	0.10111575500330909	0.4403743406502333	0.21922244988999012	0.21646603245519297	2705.449193433709	330.4562862904227	270.23515673735614	1396.600971310642	1366.4904065341088	178.99395296246558	867.9074943067577	867.9074943067577	867.9074943067577	48.02839756418749	47.42450725789026	23.60836158289645	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999587606748252	0.09182501365061171	0.08587877721849003	0.010429836810717609	0.009820769613950281	0.00909124992455626	100	2000	200	0.7	0.00005	1.7	0.05	0.55
234	3	3	0.45345256782509635	0.2848248724079713	0.0011219007465794963	0.5534525678250963	0.38482487240797125	0.1011219007465795	0.43123725165063015	0.21545873228093054	0.21242097268299262	2698.1112347589838	332.9958700449293	265.40058577208873	1399.0182567932757	1365.2206146568556	182.66293229982819	867.9074943067577	867.9074943067577	867.9074943067577	48.94298587651987	48.252937144105154	24.10857741557803	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999958420761741	0.09212055530663946	0.08540760629016546	0.010481344610603436	0.009792347848063302	0.009091252733966819	100	2000	200	0.7	0.00005	1.7	0.1	0.55
235	3	3	0.461876742119548	0.2761446585482018	0.0011283566755228237	0.561876742119548	0.3761446585482018	0.10112835667552283	0.4221023405427659	0.21167930224231984	0.20839651529177333	2690.4678149723327	335.2750982187784	260.8527843421637	1401.2921575082382	1364.081000569931	186.4846421931537	867.9074943067577	867.9074943067577	867.9074943067577	49.88815024735077	49.114469651826944	24.63032224017479	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999580627075702	0.09239039405133746	0.08495713743085953	0.010531067248400607	0.009766541180597573	0.009091255693316879	100	2000	200	0.7	0.00005	1.7	0.15000000000000002	0.55
236	3	3	0.4698095425168245	0.2679756867325508	0.0011351467078161814	0.5698095425168245	0.36797568673255077	0.10113514670781618	0.4129697420039292	0.20788812548306898	0.20438874113285205	2682.499559808076	337.3703735515498	256.51796747561366	1403.4595659415133	1363.0333629035451	190.46876977528208	867.9074943067577	867.9074943067577	867.9074943067577	50.866386319893316	50.010151574275675	25.175008259567363	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999576850378233	0.09264142568136528	0.08452022366857159	0.010579746441422195	0.009742655008557153	0.009091258814793534	100	2000	200	0.7	0.00005	1.7	0.2	0.55
237	3	3	0.47737216807144467	0.2601988549644659	0.0011422972690001254	0.5773721680714446	0.36019885496446585	0.10114229726900012	0.403839601916592	0.20408784738588936	0.20039505356790144	2674.185430004585	339.3329926516195	252.34770510061543	1405.5446971290123	1362.0520533535102	194.62583467702748	867.9074943067577	867.9074943067577	867.9074943067577	51.880106224166795	50.94138038627349	25.744173222634046	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999572861154568	0.09287814957737886	0.0840920974957156	0.010627885089345939	0.009720237038749023	0.009091262111927456	100	2000	200	0.7	0.00005	1.7	0.25	0.55
238	3	3	0.484649893961306	0.2527311653739989	0.0011498376281475764	0.584649893961306	0.3527311653739989	0.10114983762814757	0.3947120785418902	0.20028034735222663	0.19641362437391358	2665.502539452267	341.19994996916125	248.30814771920146	1407.5644758197193	1361.1185746947394	198.9672799531867	867.9074943067577	867.9074943067577	867.9074943067577	52.931749001833104	51.909819427346505	26.339494611632347	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999568641180466	0.09310369059906143	0.08366934761440485	0.010675851017096399	0.009698973860098693	0.009091265599781564	100	2000	200	0.7	0.00005	1.7	0.30000000000000004	0.55
239	3	3	0.4917057713927177	0.24551203992498555	0.0011578002886591943	0.5917057713927176	0.3455120399249855	0.10115780028865919	0.3855873438411326	0.19646702532446444	0.19244310751186391	2656.425949091849	342.99949925796784	244.3744990245389	1409.5313001670506	1360.218800050336	203.50557513339572	867.9074943067577	867.9074943067577	867.9074943067577	54.02384528247855	52.91736182563216	26.96280578696544	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999564170110349	0.09332032185617446	0.0832493946817788	0.010723930202577529	0.009678638064949464	0.009091269295172157	100	2000	200	0.7	0.00005	1.7	0.35000000000000003	0.55
240	3	3	0.4985883142779677	0.23849565079285068	0.0011662214449985832	0.5985883142779677	0.33849565079285066	0.10116622144499858	0.3764655849670913	0.19264896375762094	0.188482477494707	2646.9284327211253	344.7542933765943	240.52791541506602	1411.454591971787	1359.341402991023	208.25433331875746	867.9074943067577	867.9074943067577	867.9074943067577	55.159062020459054	53.966117767342766	27.616114410057246	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999559425162466	0.09352975707329995	0.08283019732481907	0.010772356720313039	0.009659058692584313	0.00909127321692914	100	2000	200	0.7	0.00005	1.7	0.4	0.55
241	3	3	0.5053361164660498	0.2316463217839898	0.0011751415186655124	0.6053361164660498	0.3316463217839898	0.10117514151866551	0.3673470059504486	0.18882702564800904	0.18453093175679944	2636.980210159044	346.48329062972493	236.75364518001078	1413.3417270893146	1358.4769043644576	213.22844459979817	867.9074943067577	867.9074943067577	867.9074943067577	56.34023828374909	55.05841460046289	28.30162352623804	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999554380746747	0.09373332548376766	0.08241007547470054	0.010821330843667301	0.009640103557236114	0.009091277386203633	100	2000	200	0.7	0.00005	1.7	0.45	0.55
242	3	3	0.5119807794074195	0.2249356210868194	0.0011846057898494688	0.6119807794074195	0.3249356210868194	0.10118460578984946	0.3582318296110478	0.18500191717418346	0.18058782848113153	2626.5486423562797	348.20298549767887	233.03985069784045	1415.1986243304	1357.6170569304807	218.44422850118016	867.9074943067577	867.9074943067577	867.9074943067577	57.570417415958836	56.19680500992737	29.02175576410504	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999549008022934	0.09393208211570193	0.08198759814147046	0.010871030662873387	0.009621668109051781	0.009091281826833195	100	2000	200	0.7	0.00005	1.7	0.5	0.55
243	3	3	0.5185488528900393	0.2183404429105712	0.0011946651452091617	0.6185488528900392	0.3183404429105712	0.10119466514520917	0.34912029972866243	0.1811742295674291	0.17665264528151028	2615.5978819949155	349.92824871660724	229.37683014300006	1417.0301346078202	1356.7544253210165	223.91960868186226	867.9074943067577	867.9074943067577	867.9074943067577	58.85287847987009	57.38408100712228	29.77918119908963	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999543274373325	0.09412688034754323	0.08156150873334152	0.01092161994525825	0.009603668108199442	0.009091286565777642	100	2000	200	0.7	0.00005	1.7	0.55	0.55
244	3	3	0.5250631710188501	0.21184169605891304	0.0012053769673542104	0.6250631710188501	0.31184169605891304	0.10120537696735421	0.3400126835139932	0.17734446820762276	0.1727249507616634	2604.0884718403004	351.6729327104672	225.75648449650043	1418.84030743107	1355.8820833240866	229.67431375917	867.9074943067577	867.9074943067577	867.9074943067577	60.191168792087716	58.62329268555923	30.576849541180287	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999953714277044	0.09431842132702166	0.08113067330585318	0.010973253721541107	0.009586034635868953	0.0090912916336417	100	2000	200	0.7	0.00005	1.7	0.6000000000000001	0.55
245	3	3	0.5315438028453101	0.20542338028090887	0.0012168061982259948	0.6315438028453101	0.3054233802809089	0.101216806198226	0.33090927442770957	0.17351307356538356	0.16880438435249503	2591.9768815364228	353.4503331053366	222.17194135662658	1420.632579001007	1354.993383126652	235.7301089111087	867.9074943067577	867.9074943067577	867.9074943067577	61.589138847190455	59.91777133717065	31.418027445379277	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999530571014549	0.09450728861455095	0.08069404335637442	0.011026082452522117	0.009568710596714939	0.009091297065305256	100	2000	200	0.7	0.00005	1.7	0.65	0.55
246	3	3	0.5380087494521952	0.1990719188779133	0.0012290266171829378	0.6380087494521952	0.2990719188779133	0.10122902661718294	0.3218103954037698	0.16968043679021141	0.1648906416555149	2579.21497159597	355.273562225392	218.6172824273672	1422.4099084656366	1354.081768566624	242.11106388133524	867.9074943067577	867.9074943067577	867.9074943067577	63.05098070768895	61.271156902750725	32.306341915574215	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999523510808939	0.09469397305977328	0.08025062812841953	0.011080255292817231	0.009551648206426046	0.009091302900687714	100	2000	200	0.7	0.00005	1.7	0.7000000000000001	0.55
247	3	3	0.5444744698182511	0.19277566556560866	0.001242122385872202	0.6444744698182511	0.29277566556560863	0.10124212238587221	0.31271640254321276	0.165846911714829	0.16098346355716603	2565.749370928793	357.15587117614615	215.08734156444507	1424.1748788970976	1353.140614091247	248.84386421492366	867.9074943067577	867.9074943067577	867.9074943067577	64.58127087201393	62.68742998227763	33.24583098727505	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999515906631559	0.09487889102714378	0.07979947327931725	0.01113592277862861	0.0095348071495263	0.009091309185680659	100	2000	200	0.7	0.00005	1.7	0.75	0.55
248	3	3	0.5509562886768885	0.18652453274689085	0.0012561899268680233	0.6509562886768885	0.2865245327468908	0.10125618992686802	0.30362768935635903	0.16201282444223108	0.15708262799190723	2551.5207512487336	359.110946255838	211.5775520433345	1425.929773657653	1352.1630765514012	255.95817405495336	867.9074943067577	867.9074943067577	867.9074943067577	66.18501866696515	64.17094882268044	34.24100314414418	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999950769434922	0.09506239797241614	0.07933964387439782	0.011193239156022331	0.00951815320513194	0.009091315973293336	100	2000	200	0.7	0.00005	1.7	0.8	0.55
249	3	3	0.557468721855441	0.1803097061318662	0.0012713402229106664	0.657468721855441	0.2803097061318662	0.10127134022291068	0.2945446916451662	0.15817848131859863	0.15318794360766183	2536.462977928781	361.1531994459124	208.08382890761462	1427.6766352255129	1351.141949956364	263.48706071492967	867.9074943067577	867.9074943067577	867.9074943067577	67.86772131707322	65.72649186686746	35.29690726331221	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999498799503745	0.09524479869231453	0.07887021034528509	0.011252364500035798	0.009501657207056114	0.009091323325069288	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.55
250	3	3	0.564025743467277	0.174123421815696	0.0012877016502888861	0.6640257434672769	0.274123421815696	0.10128770165028889	0.2854678931335738	0.15434417587419502	0.14929924482477458	2520.5021121130562	363.29806979235553	204.60247678531383	1429.417311286663	1350.0695147831423	271.4674936227919	867.9074943067577	867.9074943067577	867.9074943067577	69.63542701171876	67.35930660820307	36.41921531622356	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999489135176698	0.09542635514188089	0.07839023647163296	0.011313466734766908	0.009485294247858786	0.00909133131285134	100	2000	200	0.7	0.00005	1.7	0.9	0.55
251	3	3	0.5706410121929962	0.16795878912899173	0.001305423496199132	0.6706410121929962	0.26795878912899174	0.10130542349619913	0.27639783197224216	0.15051019518220907	0.14541638793392522	2503.5552328394047	365.56235168013166	201.13011649071154	1431.1534914339643	1348.9373738392542	279.9409332596178	867.9074943067577	867.9074943067577	867.9074943067577	71.49480752213654	69.07516566113146	37.61432060344241	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999478599307816	0.0956072924370298	0.07789876871549824	0.011376723640312848	0.009469043064391294	0.009091340020998168	100	2000	200	0.7	0.00005	1.7	0.9500000000000001	0.55
252	3	3	0.5773280692212653	0.16180964731644748	0.0013246803597597445	0.6773280692212653	0.26180964731644746	0.10132468035975975	0.26733510826513	0.14667682601288254	0.14153924798114573	2485.529040170484	367.96456691860215	197.66362566987965	1432.8867368443803	1347.736266220019	288.95402959407807	867.9074943067577	867.9074943067577	867.9074943067577	73.4532422221519	70.88043113904851	38.889455011608725	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999467071298573	0.09578780347590325	0.07739482641311823	0.011442324918330603	0.009452885560931266	0.009091349549191772	100	2000	200	0.7	0.00005	1.7	1.	0.55
253	3	3	0.43427316532977056	0.3045683868580913	0.0011098977465176408	0.5342731653297705	0.4045683868580912	0.10110989774651764	0.4495134830253254	0.2229639543800015	0.22053815070639562	2712.4995611229174	327.53102768330353	275.47942163151384	1393.9788388635632	1367.9530358376683	175.46876911786146	867.9074943067577	867.9074943067577	867.9074943067577	43.213114132633	42.74296400768396	21.201010952853597	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999590837783129	0.09149221480752485	0.08638243996256444	0.01037533393415239	0.009852972485588697	0.009091247254080056	100	2000	200	0.7	0.00005	1.7	0.	0.6000000000000001
254	3	3	0.44355617732726094	0.2950188237615517	0.0011152561645028315	0.5435561773272609	0.3950188237615517	0.10111525616450283	0.44113585906928376	0.219535207425053	0.216804225684478	2706.047472129299	330.2295063072173	270.6543013838306	1396.3913989874047	1366.6037965257115	178.6948136146706	867.9074943067577	867.9074943067577	867.9074943067577	43.95735483008899	43.41053259226669	21.603639969741185	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999587882247338	0.09179891349372295	0.0859192949043887	0.010425431098057896	0.009823287554652158	0.009091249696853997	100	2000	200	0.7	0.00005	1.7	0.05	0.6000000000000001
255	3	3	0.45198917054082666	0.28633273668065157	0.0011208555274007104	0.5519891705408266	0.3863327366806516	0.10112085552740072	0.4327599520579649	0.21608724428424414	0.2130935852241419	2699.354940035232	332.59327687610204	266.18390981321267	1398.6265947727138	1365.421911241269	182.04107966170398	867.9074943067577	867.9074943067577	867.9074943067577	44.72279288487751	44.10320613159014	22.021770341167805	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999584786360874	0.09207331974215885	0.08548445413357834	0.0104729090098902	0.009796879365989455	0.0090912522556303	100	2000	200	0.7	0.00005	1.7	0.1	0.6000000000000001
256	3	3	0.459822585618751	0.27826104046673333	0.0011267123458655437	0.559822585618751	0.3782610404667333	0.10112671234586554	0.42438585696025444	0.21262538735806297	0.209400941089837	2692.4083392800644	334.7249750864831	261.96743536116134	1400.7348319987395	1364.3560621360787	185.51438003928794	867.9074943067577	867.9074943067577	867.9074943067577	45.51144912470417	44.821271793976585	22.456309796317814	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999581539998588	0.09232491484697708	0.08506825644926048	0.010518758178064587	0.009772790932642956	0.009091254938777684	100	2000	200	0.7	0.00005	1.7	0.15000000000000002	0.6000000000000001
257	3	3	0.4672114728400974	0.2706501467616698	0.0011328446649878198	0.5672114728400974	0.3706501467616698	0.10113284466498783	0.4160136758025157	0.20915297346536452	0.20572299199392932	2685.1930002439844	336.6888542291692	257.9426033755603	1402.74724799154	1363.3741225647354	189.12204955732793	867.9074943067577	867.9074943067577	867.9074943067577	46.32511021109647	45.565406597738246	22.90823795321409	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999578132047196	0.09255952527525958	0.08466468453077777	0.01056360146296031	0.009750435147940667	0.009091257755481613	100	2000	200	0.7	0.00005	1.7	0.2	0.6000000000000001
