"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"rtkPhosmax"	"rtkPhosmd"	"rtkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"	"foldkRosDeg"	"foldkGshOx"
11	3	1	0.001751408933159593	0.001751408933159593	0.001751408933159593	0.10175140893315959	0.10175140893315959	0.10175140893315959	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999428318992155	0.09999428318992155	0.09999428318992155	0.009091381579107624	0.009091381579107624	0.009091381579107624	100	2000	200	0.7	0.00005	1.7	0.5	0.
12	3	1	0.001589651148751234	0.001589651148751234	0.001589651148751234	0.10158965114875124	0.10158965114875124	0.10158965114875124	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999481115945023	0.09999481115945023	0.09999481115945023	0.009091337940935997	0.009091337940935997	0.009091337940935997	100	2000	200	0.7	0.00005	1.7	0.55	0.
13	3	1	0.0014552465448211278	0.0014552465448211278	0.0014552465448211278	0.10145524654482113	0.10145524654482113	0.10145524654482113	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999524985377117	0.09999524985377117	0.09999524985377117	0.009091301681930907	0.009091301681930907	0.009091301681930907	100	2000	200	0.7	0.00005	1.7	0.6000000000000001	0.
14	3	1	0.0013417978840826845	0.0013417978840826845	0.0013417978840826845	0.10134179788408268	0.10134179788408268	0.10134179788408268	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999562015124894	0.09999562015124894	0.09999562015124894	0.009091271076293357	0.009091271076293357	0.009091271076293357	100	2000	200	0.7	0.00005	1.7	0.65	0.
15	3	1	0.001244758535355634	0.001244758535355634	0.001244758535355634	0.10124475853535564	0.10124475853535564	0.10124475853535564	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999593689075675	0.09999593689075675	0.09999593689075675	0.009091244897465234	0.009091244897465234	0.009091244897465234	100	2000	200	0.7	0.00005	1.7	0.7000000000000001	0.
16	3	1	0.0011608084211172565	0.0011608084211172565	0.0011608084211172565	0.10116080842111726	0.10116080842111726	0.10116080842111726	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999621090820746	0.09999621090820746	0.09999621090820746	0.009091222249778283	0.009091222249778283	0.009091222249778283	100	2000	200	0.7	0.00005	1.7	0.75	0.
17	3	1	0.0010874665378937123	0.0010874665378937123	0.0010874665378937123	0.10108746653789372	0.10108746653789372	0.10108746653789372	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999645030108067	0.09999645030108067	0.09999645030108067	0.009091202463923288	0.009091202463923288	0.009091202463923288	100	2000	200	0.7	0.00005	1.7	0.8	0.
18	3	1	0.001022841637496901	0.001022841637496901	0.001022841637496901	0.1010228416374969	0.1010228416374969	0.1010228416374969	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999666124208165	0.09999666124208165	0.09999666124208165	0.009091185029690956	0.009091185029690956	0.009091185029690956	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.
19	3	1	0.0009654668194587992	0.0009654668194587992	0.0009654668194587992	0.1009654668194588	0.1009654668194588	0.1009654668194588	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999684851896208	0.09999684851896208	0.09999684851896208	0.00909116955134958	0.00909116955134958	0.00909116955134958	100	2000	200	0.7	0.00005	1.7	0.9	0.
20	3	1	0.0009141868364775098	0.0009141868364775098	0.0009141868364775098	0.10091418683647752	0.10091418683647752	0.10091418683647752	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999701590231301	0.09999701590231301	0.09999701590231301	0.009091155717243164	0.009091155717243164	0.009091155717243164	100	2000	200	0.7	0.00005	1.7	0.9500000000000001	0.
21	3	1	0.0008680795026476497	0.0008680795026476497	0.0008680795026476497	0.10086807950264765	0.10086807950264765	0.10086807950264765	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999716640206212	0.09999716640206212	0.09999716640206212	0.009091143278589522	0.009091143278589522	0.009091143278589522	100	2000	200	0.7	0.00005	1.7	1.	0.
22	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"rtkPhos"	"Median[rtkPhos]"	"rtkPhos"	100	2000	200	0.7	0.00005	1.7	0.	0.05
23	3	3	0.5211538969135663	0.12569264908836	0.03944343332863585	0.6211538969135663	0.22569264908836	0.13944343332863585	0.31979001454030676	0.25457348434274557	0.20772075212805355	2391.4294014921766	1707.867442184262	951.8355233317255	1055.8007880134573	677.784828587189	336.00384893323195	867.9074943067577	867.9074943067577	867.9074943067577	27.52774630201681	22.46142869516851	17.880746446898396	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09983533495174252	0.0992694142796992	0.09480897033756089	0.009541168058223214	0.009151691775708428	0.009104538174708188	100	2000	200	0.7	0.00005	1.7	0.05	0.05
24	3	1	0.011140373198190352	0.011140373198190352	0.011140373198190352	0.11114037319819035	0.11114037319819035	0.11114037319819035	0.3842463423050055	0.3842463423050055	0.3842463423050055	2839.028477120082	2839.028477120082	2839.028477120082	112.20431111927924	112.20431111927924	112.20431111927924	867.9074943067577	867.9074943067577	867.9074943067577	14.881297586188339	14.881297586188339	14.881297586188339	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999607753021493	0.0999607753021493	0.0999607753021493	0.009094151957843227	0.009094151957843227	0.009094151957843227	100	2000	200	0.7	0.00005	1.7	0.1	0.05
25	3	1	0.00671649075937148	0.00671649075937148	0.00671649075937148	0.10671649075937148	0.10671649075937148	0.10671649075937148	0.39975213489834616	0.39975213489834616	0.39975213489834616	2925.1658653469513	2925.1658653469513	2925.1658653469513	69.13561700584454	69.13561700584454	69.13561700584454	867.9074943067577	867.9074943067577	867.9074943067577	14.304074117575984	14.304074117575984	14.304074117575984	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09997704421135399	0.09997704421135399	0.09997704421135399	0.009092806659526139	0.009092806659526139	0.009092806659526139	100	2000	200	0.7	0.00005	1.7	0.15000000000000002	0.05
26	3	1	0.0048209587013928875	0.0048209587013928875	0.0048209587013928875	0.1048209587013929	0.1048209587013929	0.1048209587013929	0.4070304267146568	0.4070304267146568	0.4070304267146568	2963.334801896861	2963.334801896861	2963.334801896861	50.051148730889636	50.051148730889636	50.051148730889636	867.9074943067577	867.9074943067577	867.9074943067577	14.04829661605068	14.04829661605068	14.04829661605068	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999837339523065	0.0999837339523065	0.0999837339523065	0.009092253591186872	0.009092253591186872	0.009092253591186872	100	2000	200	0.7	0.00005	1.7	0.2	0.05
