"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"rtkPhosmax"	"rtkPhosmd"	"rtkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"	"foldkPptaseOxRos"	"foldRos"
354	3	3	0.4431206691025067	0.2920011509671543	0.0009538001145276143	0.5431206691025067	0.39200115096715427	0.1009538001145276	0.3609331478695407	0.1794165190471634	0.1773274895214943	2695.590702990975	303.7872739425575	247.75937342941234	1407.838862964614	1379.8249127080414	183.92319818383254	867.9074943067577	867.9074943067577	867.9074943067577	32.24589814966097	31.870444241213143	15.842502136467603	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999716938297781	0.09285945891554291	0.08748286595627966	0.010258212970969615	0.009722003309594426	0.009091143032220167	100	2000	200	0.7	0.00005	1.7	0.8	0.8500000000000001
355	3	3	0.4701254018552198	0.263043329878992	0.0010304937311734097	0.5701254018552198	0.36304332987899196	0.1010304937311734	0.35699998782926495	0.18001662057313417	0.17706691902106186	2669.5444706418616	319.6416064738012	240.6781220221286	1411.3794886682558	1371.8977464424195	196.94631435838926	867.9074943067577	867.9074943067577	867.9074943067577	32.29335099892385	31.764201261194813	16.01704302852763	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999691194682747	0.09382319095656054	0.08648521987559392	0.010364281713710968	0.009631759443980089	0.00909116430907988	100	2000	200	0.7	0.00005	1.7	0.8	0.9
356	3	3	0.49079852709080474	0.24069412824040365	0.0011106781431020618	0.5907985270908047	0.3406941282404036	0.10111067814310205	0.35306274688028527	0.18055397578213384	0.17688242214101527	2642.889994039191	333.74878185141375	235.6516278669263	1413.892735745857	1364.8441587536133	210.27355265972443	867.9074943067577	867.9074943067577	867.9074943067577	32.32703451836821	31.66966632263432	16.195659884173608	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999663810206029	0.09454524219715572	0.08571783666829814	0.010447373601488858	0.009565236819808203	0.009091186942205915	100	2000	200	0.7	0.00005	1.7	0.8	0.9500000000000001
357	3	3	0.5080740680598187	0.22200786236771108	0.001194650866260294	0.6080740680598187	0.32200786236771106	0.1011946508662603	0.3491209547994279	0.18106590651872023	0.17673712282057755	2615.6024680098267	347.1106052989765	231.6856581970079	1415.875720580816	1358.1632470298318	223.91731567440678	867.9074943067577	867.9074943067577	867.9074943067577	32.353611256024244	31.580126132988983	16.37851892771733	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999634621168667	0.0951323570288967	0.08507483968578233	0.010518029831077823	0.009511819465106637	0.009091211066915914	100	2000	200	0.7	0.00005	1.7	0.8	1.
358	3	1	0	0	0	0.1	0.1	0.1	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.
359	3	1	0.00004356958183317942	0.00004356958183317942	0.00004356958183317942	0.10004356958183318	0.10004356958183318	0.10004356958183318	0.42353954133960653	0.42353954133960653	0.42353954133960653	3045.0496934078064	3045.0496934078064	3045.0496934078064	9.193702975416874	9.193702975416874	9.193702975416874	867.9074943067577	867.9074943067577	867.9074943067577	13.500709162028977	13.500709162028977	13.500709162028977	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999987837932632	0.09999987837932632	0.09999987837932632	0.009090919142215551	0.009090919142215551	0.009090919142215551	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.05
360	3	1	0.00008826083195983398	0.00008826083195983398	0.00008826083195983398	0.10008826083195983	0.10008826083195983	0.10008826083195983	0.41963752511472113	0.41963752511472113	0.41963752511472113	3026.3161878019287	3026.3161878019287	3026.3161878019287	18.560455778355795	18.560455778355795	18.560455778355795	867.9074943067577	867.9074943067577	867.9074943067577	13.62624604337269	13.62624604337269	13.62624604337269	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999997521028322	0.0999997521028322	0.0999997521028322	0.009090929578324504	0.009090929578324504	0.009090929578324504	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.1
361	3	1	0.00013413903229669228	0.00013413903229669228	0.00013413903229669228	0.10013413903229669	0.10013413903229669	0.10013413903229669	0.4157345733736626	0.4157345733736626	0.4157345733736626	3007.22640512854	3007.22640512854	3007.22640512854	28.105347115049952	28.105347115049952	28.105347115049952	867.9074943067577	867.9074943067577	867.9074943067577	13.754170406957607	13.754170406957607	13.754170406957607	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999996208541367	0.0999996208541367	0.0999996208541367	0.009090940425385963	0.009090940425385963	0.009090940425385963	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.15000000000000002
362	3	1	0.0001812745504398411	0.0001812745504398411	0.0001812745504398411	0.10018127455043985	0.10018127455043985	0.10018127455043985	0.4118306145430502	0.4118306145430502	0.4118306145430502	2987.7697258059975	2987.7697258059975	2987.7697258059975	37.83368677632137	37.83368677632137	37.83368677632137	867.9074943067577	867.9074943067577	867.9074943067577	13.884553416675253	13.884553416675253	13.884553416675253	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999948428899352	0.09999948428899352	0.09999948428899352	0.00909095171185325	0.00909095171185325	0.00909095171185325	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.2
363	3	1	0.00022974334164680376	0.00022974334164680376	0.00022974334164680376	0.1002297433416468	0.1002297433416468	0.1002297433416468	0.40792556821848025	0.40792556821848025	0.40792556821848025	2967.935059526669	2967.935059526669	2967.935059526669	47.75101991598559	47.75101991598559	47.75101991598559	867.9074943067577	867.9074943067577	867.9074943067577	14.01746939084396	14.01746939084396	14.01746939084396	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999993420322494	0.0999993420322494	0.0999993420322494	0.009090963468734404	0.009090963468734404	0.009090963468734404	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.25
364	3	1	0.000279627511632269	0.000279627511632269	0.000279627511632269	0.10027962751163227	0.10027962751163227	0.10027962751163227	0.40401934413953394	0.40401934413953394	0.40401934413953394	2947.710813999355	2947.710813999355	2947.710813999355	57.86314267964248	57.86314267964248	57.86314267964248	867.9074943067577	867.9074943067577	867.9074943067577	14.15299601167204	14.15299601167204	14.15299601167204	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999919367440235	0.09999919367440235	0.09999919367440235	0.009090975729876716	0.009090975729876716	0.009090975729876716	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.30000000000000004
365	3	1	0.0003310159490208065	0.0003310159490208065	0.0003310159490208065	0.1003310159490208	0.1003310159490208	0.1003310159490208	0.40011184103177566	0.40011184103177566	0.40011184103177566	2927.0848606416434	2927.0848606416434	2927.0848606416434	68.17611935849834	68.17611935849834	68.17611935849834	867.9074943067577	867.9074943067577	867.9074943067577	14.291214555160002	14.291214555160002	14.291214555160002	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999903876769721	0.09999903876769721	0.09999903876769721	0.00909098853228947	0.00909098853228947	0.00909098853228947	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.35000000000000003
366	3	1	0.0003840050378175763	0.0003840050378175763	0.0003840050378175763	0.10038400503781758	0.10038400503781758	0.10038400503781758	0.3962029452957437	0.3962029452957437	0.3962029452957437	2906.044496815874	2906.044496815874	2906.044496815874	78.69630127138319	78.69630127138319	78.69630127138319	867.9074943067577	867.9074943067577	867.9074943067577	14.432210144164733	14.432210144164733	14.432210144164733	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999988768216853	0.0999988768216853	0.0999988768216853	0.009091001916511016	0.009091001916511016	0.009091001916511016	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.4
367	3	1	0.00043869946207893915	0.00043869946207893915	0.00043869946207893915	0.10043869946207894	0.10043869946207894	0.10043869946207894	0.39229252951943105	0.39229252951943105	0.39229252951943105	2884.576404134214	2884.576404134214	2884.576404134214	89.43034761221298	89.43034761221298	89.43034761221298	867.9074943067577	867.9074943067577	867.9074943067577	14.576072027805333	14.576072027805333	14.576072027805333	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999870729816061	0.09999870729816061	0.09999870729816061	0.009091015927027372	0.009091015927027372	0.009091015927027372	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.45
368	3	1	0.0004952131171587337	0.0004952131171587337	0.0004952131171587337	0.10049521311715873	0.10049521311715873	0.10049521311715873	0.38838045078654126	0.38838045078654126	0.38838045078654126	2862.666602276518	2862.666602276518	2862.666602276518	100.38524854106116	100.38524854106116	100.38524854106116	867.9074943067577	867.9074943067577	867.9074943067577	14.722893890938675	14.722893890938675	14.722893890938675	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999852960536901	0.09999852960536901	0.09999852960536901	0.00909103061275094	0.00909103061275094	0.00909103061275094	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.5
369	3	1	0.000553670144560825	0.000553670144560825	0.000553670144560825	0.10055367014456082	0.10055367014456082	0.10055367014456082	0.3844665487477114	0.3844665487477114	0.3844665487477114	2840.300397665972	2840.300397665972	2840.300397665972	111.56835084633413	111.56835084633413	111.56835084633413	867.9074943067577	867.9074943067577	867.9074943067577	14.87277419809391	14.87277419809391	14.87277419809391	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999834309136625	0.09999834309136625	0.09999834309136625	0.009091046027569574	0.009091046027569574	0.009091046027569574	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.55
370	3	1	0.0006142061106560662	0.0006142061106560662	0.0006142061106560662	0.10061420611065607	0.10061420611065607	0.10061420611065607	0.3805506434157152	0.3805506434157152	0.3805506434157152	2817.4623262280393	2817.4623262280393	2817.4623262280393	122.98738656530051	122.98738656530051	122.98738656530051	867.9074943067577	867.9074943067577	867.9074943067577	15.02581657705599	15.02581657705599	15.02581657705599	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999814703637622	0.09999814703637622	0.09999814703637622	0.009091062230978325	0.009091062230978325	0.009091062230978325	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.6000000000000001
371	3	1	0.0006769693534646961	0.0006769693534646961	0.0006769693534646961	0.1006769693534647	0.1006769693534647	0.1006769693534647	0.3766325326381213	0.3766325326381213	0.3766325326381213	2794.136089312714	2794.136089312714	2794.136089312714	134.65050502296324	134.65050502296324	134.65050502296324	867.9074943067577	867.9074943067577	867.9074943067577	15.182130248263142	15.182130248263142	15.182130248263142	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999794064397002	0.09999794064397002	0.09999794064397002	0.009091079288808661	0.009091079288808661	0.009091079288808661	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.65
372	3	1	0.0007421225265467054	0.0007421225265467054	0.0007421225265467054	0.1007421225265467	0.1007421225265467	0.1007421225265467	0.3727119891916432	0.3727119891916432	0.3727119891916432	2770.3044816821152	2770.3044816821152	2770.3044816821152	146.5663088382626	146.5663088382626	146.5663088382626	867.9074943067577	867.9074943067577	867.9074943067577	15.34183050737608	15.34183050737608	15.34183050737608	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999772303084908	0.09999772303084908	0.09999772303084908	0.009091097274073102	0.009091097274073102	0.009091097274073102	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.7000000000000001
373	3	1	0.000809844375019837	0.000809844375019837	0.000809844375019837	0.10080984437501983	0.10080984437501983	0.10080984437501983	0.3687887574310348	0.3687887574310348	0.3687887574310348	2745.9493102464758	2745.9493102464758	2745.9493102464758	158.7438945560822	158.7438945560822	158.7438945560822	867.9074943067577	867.9074943067577	867.9074943067577	15.505039269844026	15.505039269844026	15.505039269844026	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999749321496834	0.09999749321496834	0.09999749321496834	0.009091116267947107	0.009091116267947107	0.009091116267947107	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.75
374	3	3	0.4019719701440505	0.33681115780572335	0.0008803317861463489	0.5019719701440505	0.4368111578057233	0.10088033178614635	0.3648625494112747	0.1786486444615437	0.17777498149107265	2721.05130196067	283.34513174239095	259.87195740790855	1401.7825709753658	1390.0459838081247	171.19289869898503	867.9074943067577	867.9074943067577	867.9074943067577	32.164729357782676	32.007431030220125	15.67188568810806	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999725010167693	0.09082329262764971	0.08837992556704907	0.010164675305822104	0.009918343013187421	0.009091136360914853	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.8
375	3	3	0.44692390908075175	0.28969844802364103	0.0009538021662002238	0.5469239090807517	0.38969844802364106	0.10095380216620022	0.36093304038420126	0.17946084297657097	0.17728933997505344	2695.589998956241	304.96191286504114	246.72392385755228	1408.356587750544	1379.2375932467996	183.9235502011997	867.9074943067577	867.9074943067577	867.9074943067577	32.25283689955512	31.8625727562847	15.842506854341918	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999699246748002	0.0925287035579113	0.08665722856375621	0.010345837707734283	0.009753366279864936	0.00909115765411172	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.8500000000000001
376	3	3	0.4732393770448957	0.26150580019361774	0.001030496206981879	0.5732393770448957	0.3615058001936177	0.10103049620698189	0.35699986354869084	0.18005131267858485	0.17703834222358808	2669.5436385615194	320.55492028278616	239.90025196405838	1411.768423697291	1371.441089537927	196.94673039856036	867.9074943067577	867.9074943067577	867.9074943067577	32.29856365816848	31.75808096691139	16.01704860446058	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999671894093146	0.09351543144244977	0.08564024595018632	0.01045584931390541	0.00966039542187445	0.009091180260903992	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.9
377	3	3	0.4936187646894391	0.23952290732926673	0.0011106811201001766	0.5936187646894391	0.3395229073292667	0.10111068112010019	0.3530626039056115	0.18058424694312197	0.1768581722689058	2642.889015329787	334.54099203724377	234.99017651850417	1414.223461420068	1364.4480536606982	210.27404201442647	867.9074943067577	867.9074943067577	867.9074943067577	32.33146703309281	31.664357567391704	16.195666442696552	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999642798004792	0.09426333560725866	0.08484999725083159	0.010542962878064109	0.009591099250524857	0.009091204308756179	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.9500000000000001
378	3	3	0.5107364031054571	0.22106380756278543	0.0011946544359523914	0.6107364031054571	0.3210638075627854	0.1011946544359524	0.349120791033331	0.1810935259479765	0.17671540084007478	2615.601321518875	347.8293478464523	231.09219266372656	1416.172453347457	1357.803875756094	223.91788891988264	867.9074943067577	867.9074943067577	867.9074943067577	32.35758818451806	31.575309698745578	16.378526610577207	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999961178454812	0.09487468349933613	0.08418512305382876	0.0106173880500053	0.009535189681943883	0.009091229941449081	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	1.
379	3	1	0	0	0	0.1	0.1	0.1	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.9	0.
380	3	1	0.00004356958470264257	0.00004356958470264257	0.00004356958470264257	0.10004356958470265	0.10004356958470265	0.10004356958470265	0.423539541085857	0.423539541085857	0.423539541085857	3045.0496922007833	3045.0496922007833	3045.0496922007833	9.193703578928384	9.193703578928384	9.193703578928384	867.9074943067577	867.9074943067577	867.9074943067577	13.500709170117474	13.500709170117474	13.500709170117474	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999987122516972	0.09999987122516972	0.09999987122516972	0.009090919733469508	0.009090919733469508	0.009090919733469508	100	2000	200	0.7	0.00005	1.7	0.9	0.05
381	3	1	0.00008826084396320905	0.00008826084396320905	0.00008826084396320905	0.1000882608439632	0.1000882608439632	0.1000882608439632	0.41963752408005606	0.41963752408005606	0.41963752408005606	3026.316182788332	3026.316182788332	3026.316182788332	18.560458285154276	18.560458285154276	18.560458285154276	867.9074943067577	867.9074943067577	867.9074943067577	13.626246076969784	13.626246076969784	13.626246076969784	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.099999737520648	0.099999737520648	0.099999737520648	0.009090930783469285	0.009090930783469285	0.009090930783469285	100	2000	200	0.7	0.00005	1.7	0.9	0.1
382	3	1	0.00013413906057733029	0.00013413906057733029	0.00013413906057733029	0.10013413906057733	0.10013413906057733	0.10013413906057733	0.4157345709993729	0.4157345709993729	0.4157345709993729	3007.226393406595	3007.226393406595	3007.226393406595	28.105352976022566	28.105352976022566	28.105352976022566	867.9074943067577	867.9074943067577	867.9074943067577	13.754170485508654	13.754170485508654	13.754170485508654	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999959855144219	0.09999959855144219	0.09999959855144219	0.009090942268596938	0.009090942268596938	0.009090942268596938	100	2000	200	0.7	0.00005	1.7	0.9	0.15000000000000002
383	3	1	0.0001812746031570822	0.0001812746031570822	0.0001812746031570822	0.10018127460315708	0.10018127460315708	0.10018127460315708	0.4118306102359117	0.4118306102359117	0.4118306102359117	2987.76970413645	2987.76970413645	2987.76970413645	37.83369761109522	37.83369761109522	37.83369761109522	867.9074943067577	867.9074943067577	867.9074943067577	13.884553561887126	13.884553561887126	13.884553561887126	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999945395305485	0.09999945395305485	0.09999945395305485	0.009090954218979819	0.009090954218979819	0.009090954218979819	100	2000	200	0.7	0.00005	1.7	0.9	0.2
