"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"rtkPhosmax"	"rtkPhosmd"	"rtkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"
31	3	1	0.0010618612115762531	0.0010618612115762531	0.0010618612115762531	0.10106186121157626	0.10106186121157626	0.10106186121157626	0.5917243168595212	0.5917243168595212	0.5917243168595212	2791.1423889626826	2791.1423889626826	2791.1423889626826	136.14735519797873	136.14735519797873	136.14735519797873	867.9074943067577	867.9074943067577	867.9074943067577	9.663426030204338	9.663426030204338	9.663426030204338	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999619574830759	0.09999619574830759	0.09999619574830759	0.00909122350274906	0.00909122350274906	0.00909122350274906	300	2000	200	0.7	0.00005	1.7
32	3	1	0.0010603580447629565	0.0010603580447629565	0.0010603580447629565	0.10106035804476296	0.10106035804476296	0.10106035804476296	0.5983386976280318	0.5983386976280318	0.5983386976280318	2793.9202892734183	2793.9202892734183	2793.9202892734183	134.75840504261103	134.75840504261103	134.75840504261103	867.9074943067577	867.9074943067577	867.9074943067577	9.556600950119272	9.556600950119272	9.556600950119272	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999620491032872	0.09999620491032872	0.09999620491032872	0.009091222745504918	0.009091222745504918	0.009091222745504918	310	2000	200	0.7	0.00005	1.7
33	3	1	0.001058988523784555	0.001058988523784555	0.001058988523784555	0.10105898852378456	0.10105898852378456	0.10105898852378456	0.60467225491779	0.60467225491779	0.60467225491779	2796.5196350075075	2796.5196350075075	2796.5196350075075	133.4587321755663	133.4587321755663	133.4587321755663	867.9074943067577	867.9074943067577	867.9074943067577	9.456501633306454	9.456501633306454	9.456501633306454	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999621333456711	0.09999621333456711	0.09999621333456711	0.00909122204923888	0.00909122204923888	0.00909122204923888	320	2000	200	0.7	0.00005	1.7
34	3	1	0.00105773942139024	0.00105773942139024	0.00105773942139024	0.10105773942139024	0.10105773942139024	0.10105773942139024	0.6107424830789906	0.6107424830789906	0.6107424830789906	2798.9567255104594	2798.9567255104594	2798.9567255104594	132.24018692409038	132.24018692409038	132.24018692409038	867.9074943067577	867.9074943067577	867.9074943067577	9.362512555894407	9.362512555894407	9.362512555894407	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999622109394989	0.09999622109394989	0.09999622109394989	0.00909122140792347	0.00909122140792347	0.00909122140792347	330	2000	200	0.7	0.00005	1.7
35	3	1	0.0010565991420123447	0.0010565991420123447	0.0010565991420123447	0.10105659914201234	0.10105659914201234	0.10105659914201234	0.6165654549341937	0.6165654549341937	0.6165654549341937	2801.245943043841	2801.245943043841	2801.245943043841	131.0955781573995	131.0955781573995	131.0955781573995	867.9074943067577	867.9074943067577	867.9074943067577	9.274091048217208	9.274091048217208	9.274091048217208	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999622825231616	0.09999622825231616	0.09999622825231616	0.00909122081628234	0.00909122081628234	0.00909122081628234	340	2000	200	0.7	0.00005	1.7
36	3	1	0.0010555574791843358	0.0010555574791843358	0.0010555574791843358	0.10105555747918434	0.10105555747918434	0.10105555747918434	0.6221559630114234	0.6221559630114234	0.6221559630114234	2803.400026296676	2803.400026296676	2803.400026296676	130.018536530982	130.018536530982	130.018536530982	867.9074943067577	867.9074943067577	867.9074943067577	9.190756829795404	9.190756829795404	9.190756829795404	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999623486578398	0.09999623486578398	0.09999623486578398	0.0090912202696773	0.0090912202696773	0.0090912202696773	350	2000	200	0.7	0.00005	1.7
37	3	1	0.0010546054149276295	0.0010546054149276295	0.0010546054149276295	0.10105460541492763	0.10105460541492763	0.10105460541492763	0.6275276443113565	0.6275276443113565	0.6275276443113565	2805.430298391237	2805.430298391237	2805.430298391237	129.0034004837016	129.0034004837016	129.0034004837016	867.9074943067577	867.9074943067577	867.9074943067577	9.112083297175143	9.112083297175143	9.112083297175143	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999962409838778	0.0999962409838778	0.0999962409838778	0.009091219764015123	0.009091219764015123	0.009091219764015123	360	2000	200	0.7	0.00005	1.7
38	3	1	0.0010537349528781626	0.0010537349528781626	0.0010537349528781626	0.10105373495287816	0.10105373495287816	0.10105373495287816	0.6326930907975044	0.6326930907975044	0.6326930907975044	2807.346857974721	2807.346857974721	2807.346857974721	128.04512069195974	128.04512069195974	128.04512069195974	867.9074943067577	867.9074943067577	867.9074943067577	9.03769023151111	9.03769023151111	9.03769023151111	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999624665046457	0.09999624665046457	0.09999624665046457	0.009091219295670182	0.009091219295670182	0.009091219295670182	370	2000	200	0.7	0.00005	1.7
39	3	1	0.0010529389787167324	0.0010529389787167324	0.0010529389787167324	0.10105293897871673	0.10105293897871673	0.10105293897871673	0.6376639474735747	0.6376639474735747	0.6376639474735747	2809.158740183747	2809.158740183747	2809.158740183747	127.1391795874467	127.1391795874467	127.1391795874467	867.9074943067577	867.9074943067577	867.9074943067577	8.96723766319271	8.96723766319271	8.96723766319271	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999625190453465	0.09999625190453465	0.09999625190453465	0.009091218861419902	0.009091218861419902	0.009091218861419902	380	2000	200	0.7	0.00005	1.7
40	3	1	0.0010522111428324466	0.0010522111428324466	0.0010522111428324466	0.10105221114283244	0.10105221114283244	0.10105221114283244	0.642450999640326	0.642450999640326	0.642450999640326	2810.874052879444	2810.874052879444	2810.874052879444	126.28152323959806	126.28152323959806	126.28152323959806	867.9074943067577	867.9074943067577	867.9074943067577	8.900420684918268	8.900420684918268	8.900420684918268	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999625678085726	0.09999625678085726	0.09999625678085726	0.009091218458390586	0.009091218458390586	0.009091218458390586	390	2000	200	0.7	0.00005	1.7
41	3	1	0.0010515457611966397	0.0010515457611966397	0.0010515457611966397	0.10105154576119664	0.10105154576119664	0.10105154576119664	0.6470642506958866	0.6470642506958866	0.6470642506958866	2812.5000924735364	2812.5000924735364	2812.5000924735364	125.46850344255184	125.46850344255184	125.46850344255184	867.9074943067577	867.9074943067577	867.9074943067577	8.836965046509139	8.836965046509139	8.836965046509139	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999626131053302	0.09999626131053302	0.09999626131053302	0.009091218084011754	0.009091218084011754	0.009091218084011754	400	2000	200	0.7	0.00005	1.7
42	3	1	0.0010509377312351402	0.0010509377312351402	0.0010509377312351402	0.10105093773123514	0.10105093773123514	0.10105093773123514	0.6515129916511809	0.6515129916511809	0.6515129916511809	2814.0434428244394	2814.0434428244394	2814.0434428244394	124.69682826710043	124.69682826710043	124.69682826710043	867.9074943067577	867.9074943067577	867.9074943067577	8.776623397414355	8.776623397414355	8.776623397414355	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999626552146214	0.09999626552146214	0.09999626552146214	0.009091217735977439	0.009091217735977439	0.009091217735977439	410	2000	200	0.7	0.00005	1.7
43	3	1	0.0010503824601181579	0.0010503824601181579	0.0010503824601181579	0.10105038246011816	0.10105038246011816	0.10105038246011816	0.6558058633695995	0.6558058633695995	0.6558058633695995	2815.510060020895	2815.510060020895	2815.510060020895	123.96351966887276	123.96351966887276	123.96351966887276	867.9074943067577	867.9074943067577	867.9074943067577	8.719172068491519	8.719172068491519	8.719172068491519	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999626943874268	0.09999626943874268	0.09999626943874268	0.009091217412213274	0.009091217412213274	0.009091217412213274	420	2000	200	0.7	0.00005	1.7
44	3	1	0.001049875803382195	0.001049875803382195	0.001049875803382195	0.10104987580338219	0.10104987580338219	0.10104987580338219	0.6599509124023774	0.6599509124023774	0.6599509124023774	2816.905345347371	2816.905345347371	2816.905345347371	123.26587700563455	123.26587700563455	123.26587700563455	867.9074943067577	867.9074943067577	867.9074943067577	8.664408304899524	8.664408304899524	8.664408304899524	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999627308501106	0.09999627308501106	0.09999627308501106	0.009091217110848348	0.009091217110848348	0.009091217110848348	430	2000	200	0.7	0.00005	1.7
