"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"tkPhosmax"	"tkPhosmd"	"tkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"
36	3	3	0.5812478090217371	0.1586680205516262	0.0013031219719423339	0.6812478090217371	0.2586680205516262	0.10130312197194234	0.2753359605012451	0.14432546288056408	0.13895350301728016	2502.829561838067	368.8328903722207	195.44696632696915	1433.9950665158356	1347.3021044932098	280.30376876028646	867.9074943067577	867.9074943067577	867.9074943067577	41.15106162911258	39.619371745768476	20.767662007663247	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999479367613738	0.0958755355495488	0.077077579999617	0.011484012302643213	0.009445052578100152	0.009091339385974442	70	2000	200	0.7	0.00005	1.7
37	3	3	0.5766636636688183	0.16280799560619064	0.0012924291541826173	0.6766636636688182	0.2628079956061906	0.10129242915418263	0.28085421312319603	0.14693001046126547	0.14160129211886988	2513.226514562674	367.17403244149017	197.81133523720544	1432.8128820607174	1348.131533458575	275.10529239798313	867.9074943067577	867.9074943067577	867.9074943067577	40.381581839274624	38.91706090739448	20.359616836999177	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999485775481512	0.0957541806226269	0.07742802365732603	0.011437980159765458	0.009455890954972257	0.009091334089717702	72	2000	200	0.7	0.00005	1.7
38	3	3	0.5721589310193369	0.16691576600954836	0.001282437489967392	0.6721589310193369	0.26691576600954836	0.10128243748996739	0.2862779089893557	0.14951261712206054	0.1442288550596151	2523.0712600974384	365.59932620731485	200.15640456417225	1431.6403473972339	1348.9188865756628	270.1829196306008	867.9074943067577	867.9074943067577	867.9074943067577	39.64590971676009	38.24482693374963	19.973892454474317	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999491741541638	0.09563380230124752	0.0777692107422684	0.011393517060743198	0.009466666712878425	0.009091329158631149	74	2000	200	0.7	0.00005	1.7
39	3	3	0.5677280003224465	0.17099330411967673	0.0012730816531355106	0.6677280003224465	0.2709933041196767	0.1012730816531355	0.29160926397316145	0.15207346652040604	0.1468364274088647	2532.4062699557167	364.1006762293343	202.48325379163464	1430.4769227835027	1349.668211564653	265.5154147014617	867.9074943067577	867.9074943067577	867.9074943067577	38.941863862726805	37.60080109358126	19.608719175572716	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999949730907257	0.09551434152306887	0.07810164924024797	0.01135052531506033	0.00947738464331285	0.00909132455694301	76	2000	200	0.7	0.00005	1.7
40	3	3	0.563365531881183	0.17504260596814905	0.0012643041363549657	0.663365531881183	0.27504260596814906	0.10126430413635497	0.29685044409975014	0.15461274492063698	0.1494242436283769	2541.269795371878	362.67078267551443	204.79295213278843	1429.3220736129258	1350.3831583415629	261.08365199338107	867.9074943067577	867.9074943067577	867.9074943067577	38.26744594716667	36.983265313479045	19.26250837719393	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999502515930604	0.09539573654121318	0.07842581859185722	0.011308914250663054	0.00948804982836253	0.009091320253363257	78	2000	200	0.7	0.00005	1.7
41	3	3	0.5590664235560392	0.1790656983962296	0.0012560541208028965	0.6590664235560392	0.2790656983962296	0.1012560541208029	0.3020035645354342	0.15713064006154534	0.15199253716536448	2549.6963760396457	361.3030332800009	207.08656274352737	1428.1752683075565	1351.0670330393198	256.87036165949735	867.9074943067577	867.9074943067577	867.9074943067577	37.62082186985292	36.39063752305408	18.933830052771683	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999507395367231	0.09527792289743935	0.07874217231790048	0.011268599515658766	0.009498667645392185	0.009091316220408013	80	2000	200	0.7	0.00005	1.7
42	3	3	0.5548257795084676	0.183064646584325	0.0012482865356906458	0.6548257795084675	0.283064646584325	0.10124828653569065	0.30707068904679974	0.15962734018736477	0.15454154056286265	2557.7172773251805	359.9914112366033	209.3651470463083	1427.035976156166	1351.7228440610183	252.85991101672985	867.9074943067577	867.9074943067577	867.9074943067577	37.00030519573628	35.82145865196712	18.621393608081235	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999511976703813	0.09516083334723459	0.07905114044251553	0.011229502452532006	0.009509243776131573	0.009091312433841876	82	2000	200	0.7	0.00005	1.7
43	3	3	0.550638880727149	0.1870415621385511	0.0012409612715572173	0.6506388807271489	0.2870415621385511	0.10124096127155723	0.3120538298399976	0.16210303320746616	0.15707148558912634	2565.3608673737776	358.73041613740827	211.62976922374986	1425.9036650674452	1352.3533416106159	249.03811599243124	867.9074943067577	867.9074943067577	867.9074943067577	36.40434255013518	35.274381071740564	18.324031367206953	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999951628589167	0.09504439773565633	0.07935313174264802	0.011191549534941513	0.00951978422034933	0.009091308872214971	84	2000	200	0.7	0.00005	1.7
44	3	3	0.546501156907001	0.19099861190695996	0.001234042518863765	0.6465011569070009	0.29099861190695997	0.10123404251886377	0.3169549477067071	0.16455790595629824	0.15958260338820376	2572.6529434982986	357.5149956186547	213.8815009476023	1424.777799205519	1352.9610518699928	245.39207793017079	867.9074943067577	867.9074943067577	867.9074943067577	35.83150070772597	34.74815830339827	18.04068435472533	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999520345979572	0.09492854282156887	0.07964853585032007	0.011154671858440953	0.009530295314407458	0.00909130551647654	86	2000	200	0.7	0.00005	1.7
45	3	3	0.5424081592661513	0.1949380277139699	0.0012274982092755017	0.6424081592661512	0.2949380277139699	0.1012274982092755	0.32177595241626766	0.166992143529768	0.16207512465435617	2579.61701560332	356.340485804829	216.1214264173461	1423.657836470647	1353.5483067769057	241.91004187766006	867.9074943067577	867.9074943067577	867.9074943067577	35.28045514966993	34.2416358361546	17.770389997472332	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999524177505917	0.09481319204662104	0.07993772523250171	0.01111880467751279	0.009540783755113564	0.009091302349650773	88	2000	200	0.7	0.00005	1.7
