"t"	"glc"	"gln"	"cys2o"	"xct"	"x"	"ros[t]"	"ca[t]"	"gsh[t]"	"gssg[t]"	"nadph[t]"	"cys2[t]"	"cys[t]"	"pptaseRed[t]"	"tkPhos[t]"	"glu[t]"	"ros'[t]"	"ca'[t]"	"gsh'[t]"	"gssg'[t]"	"nadph'[t]"	"cys2'[t]"	"cys'[t]"	"pptaseRed'[t]"	"tkPhos'[t]"	"glu'[t]"
378	0	16000	1600	3	8	1.0025392562442053	1.1025392573371082	73.0170296101176	1515.5931835102433	0.019384510304902784	323.0987685506293	973.2436548712639	0.04214037460810853	0.019178995369947775	1722.355728125016	-1.123156927381855e-9	-1.5429802222111114e-9	1.1005040514293838e-7	0.00004864586664074656	-5.683457284848651e-10	8.80521236180981e-6	1.024664167944081e-6	6.759275096027054e-11	-3.8261516201233554e-11	-5.651952348517101e-7
379	0	16000	1600	3	8	1.0025392551107624	1.1025392558226192	73.01702972467173	1515.5932315125638	0.019384509749061293	323.0987772398287	973.2436558823305	0.042140374677111604	0.019178995332349392	1722.3557275671865	-1.1407288021551195e-9	-1.4873951894372013e-9	1.1831823329902076e-7	0.000047365059614387914	-5.439352488846913e-10	8.574237229510461e-6	9.977076236303372e-7	7.011201191004553e-11	-3.696192350252188e-11	-5.505313964326818e-7
380	0	16000	1600	3	8	1.0025392539687483	1.1025392543595227	73.01702984527486	1515.5932782529328	0.019384509215836294	323.0987857012055	973.2436568671565	0.042140374747729775	0.01917899529597058	1722.355727023818	-1.140299073672233e-9	-1.440195684400562e-9	1.2214841567053546e-7	0.000046121963528592844	-5.231127438064195e-10	8.349567142779894e-6	9.72183062677936e-7	7.082293536170781e-11	-3.5822377181701267e-11	-5.362735939665262e-7
381	0	16000	1600	3	8	1.0025392528361647	1.102539252939433	73.01702996748935	1515.5933237690613	0.019384508701639814	323.0987939410647	973.2436578271739	0.0421403748181547	0.01917899526065129	1722.355726494504	-1.1218677419331964e-9	-1.4013817071011933e-9	1.2154095225748245e-7	0.00004491657838336135	-5.058782132500496e-10	8.131202101618104e-6	9.480904850868766e-7	6.972552131525737e-11	-3.484287723877172e-11	-5.224218274532433e-7
382	0	16000	1600	3	8	1.0025392517310134	1.102539251553964	73.01703008687755	1515.59336809866	0.019384508202883878	323.09880196571135	973.2436587638148	0.042140374886578034	0.019178995226231475	1722.3557259788388	-1.0854348069380094e-9	-1.3709532575390954e-9	1.164958430598618e-7	0.000043748904178693426	-4.922316572155818e-10	7.919142106025093e-6	9.254298908571599e-7	6.681976977069422e-11	-3.4023423673733227e-11	-5.089760968928328e-7
383	0	16000	1600	3	8	1.0025392506712956	1.102539250194731	73.01703019900182	1515.5934112794398	0.01938450771598051	323.09880978145054	973.243659678511	0.04214037495119145	0.019178995192551094	1722.3557254764164	-1.0310002686866717e-9	-1.3489103357142682e-9	1.0701308807767343e-7	0.00004261894091458907	-4.821730757030158e-10	7.71338715600086e-6	9.042012799887852e-7	6.210568072801836e-11	-3.33640164865858e-11	-4.95936402285295e-7
384	0	16000	1600	3	8	1.0025392496750134	1.1025392488533483	73.0170302994245	1515.593453349112	0.019384507237341735	323.09881739458734	973.2436605726946	0.042140375010186616	0.019178995159450096	1722.3557249868306	-9.585641271791835e-10	-1.335252941626712e-9	9.30926873109174e-8	0.0000415266885910483	-4.757024687123518e-10	7.513937251545407e-6	8.844046524817529e-7	5.558325418722978e-11	-3.2864655677329434e-11	-4.833027436306299e-7
385	0	16000	1600	3	8	1.0025392487601679	1.10253924752143	73.01703038370798	1515.5934943453874	0.01938450676337958	323.09882481142677	973.2436614477976	0.042140375061755185	0.019178995126768433	1722.3557245096756	-8.68126382415545e-10	-1.3299810752764265e-9	7.473464075959366e-8	0.0000404721472080711	-4.728198362435897e-10	7.320792392658732e-6	8.660400083360628e-7	4.7252490148328484e-11	-3.252534124596413e-11	-4.710751209288373e-7
386	0	16000	1600	3	8	1.0025392479442923	1.1025392461908274	73.01703044752998	1515.5935343056858	0.0193845062905658	323.0988320382436	973.2436623052091	0.042140375104140454	0.019178995094350122	1722.3557240445489	-7.684179966524797e-10	-1.3287019053597858e-9	5.408765214210437e-8	0.00003944991883845456	-4.724084311755234e-10	7.133392029837118e-6	8.483143783594998e-7	3.807396951485839e-11	-3.227065226311951e-11	-4.591831979850523e-7
387	0	16000	1600	3	8	1.0025392471893317	1.1025392448803049	73.01703050019565	1515.59357323528	0.019384505822902943	323.0988390779382	973.2436631417374	0.04214037514159585	0.019178995062505477	1722.3557235914348	-7.453713888706081e-10	-1.2911900915756026e-9	5.2149143977378244e-8	0.000038413214966140117	-4.6227538799673205e-10	6.946773864830756e-6	8.247588871746328e-7	3.720043168682017e-11	-3.139788620561642e-11	-4.4711038632455773e-7
388	0	16000	1600	3	8	1.002539246445813	1.1025392436107533	73.01703055363917	1515.5936111400058	0.019384505367298816	323.09884593334476	973.24366395476	0.04214037517926853	0.01917899503159584	1722.355723150198	-7.455348930348891e-10	-1.2467602786667246e-9	5.56433628687972e-8	0.00003740018164790625	-4.4829096638304026e-10	6.764815905262773e-6	8.013026589671081e-7	3.850854695819242e-11	-3.0400639569654285e-11	-4.3542861070038673e-7
389	0	16000	1600	3	8	1.0025392456905253	1.1025392423890903	73.01703061329329	1515.5936480435337	0.019384504927604802	323.0988526091234	973.2436647443759	0.04214037521934016	0.01917899500174569	1722.3557227204471	-7.689085091453226e-10	-1.1954124666331513e-9	6.457030881636128e-8	0.000036410818883752974	-4.3045516633444783e-10	6.587518151133169e-6	7.779456937369258e-7	4.199831532897514e-11	-2.9278912355233134e-11	-4.241378711125395e-7
390	0	16000	1600	3	8	1.002539244900259	1.1025392412222343	73.0170306845907	1515.593683969534	0.01938450450767228	323.09885910993444	973.2436655106844	0.042140375263992384	0.01917899497307951	1722.3557223017917	-8.154922372019089e-10	-1.1371466554748836e-9	7.892998182007042e-8	0.00003544512667368028	-4.0876798785095496e-10	6.414880602441944e-6	7.546879914840859e-7	4.7669736799168404e-11	-2.803270456235294e-11	-4.132381675610158e-7
